start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
13.4425,13.4606,22890,40286,Eptesicus serotinus,0.479,0.701,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
13.5925,13.6067,23750,42270,Eptesicus serotinus,0.61,0.743,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
13.6955,13.7052,25468,33687,Nyctalus leisleri,0.356,0.635,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
13.7745,13.7886,23750,41512,Eptesicus serotinus,0.62,0.753,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
13.8215,13.8375,22031,28889,Nyctalus noctula,0.433,0.682,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
13.9005,13.9138,23750,41438,Eptesicus serotinus,0.622,0.749,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.0355,14.0477,24609,43794,Eptesicus serotinus,0.557,0.761,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.1075,14.1271,22031,29368,Nyctalus noctula,0.506,0.676,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.1565,14.1689,25468,43838,Eptesicus serotinus,0.502,0.711,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.2705,14.2803,24609,39692,Eptesicus serotinus,0.415,0.682,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.2845,14.2957,24609,33172,Eptesicus serotinus,0.294,0.574,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.3625,14.3772,22031,30001,Nyctalus noctula,0.51,0.706,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.3765,14.385,26328,36161,Nyctalus noctula,0.245,0.651,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.4295,14.4406,24609,32520,Nyctalus leisleri,0.265,0.66,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.4705,14.4792,25468,33743,Nyctalus leisleri,0.363,0.633,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.5575,14.5668,26328,34362,Nyctalus leisleri,0.241,0.552,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.5805,14.5927,23750,33094,Eptesicus serotinus,0.285,0.697,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.6475,14.6564,26328,34182,Nyctalus leisleri,0.286,0.578,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.7345,14.7452,24609,32152,Nyctalus leisleri,0.333,0.627,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
14.7645,14.7855,22031,29398,Nyctalus noctula,0.573,0.703,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
