start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
119.1335,119.1477,24609.0,29900.0,Echolocation,0.509,20220914_030000.WAV
119.6685,119.68299999999999,23750.0,29008.0,Echolocation,0.548,20220914_030000.WAV
119.9495,119.9636,23750.0,29474.0,Echolocation,0.518,20220914_030000.WAV
121.1345,121.1495,24609.0,29429.0,Echolocation,0.6,20220914_030000.WAV
121.6975,121.7147,22890.0,28125.0,Echolocation,0.598,20220914_030000.WAV
121.8655,121.8831,23750.0,31010.0,Echolocation,0.518,20220914_030000.WAV
122.0415,122.0532,25468.0,31344.0,Echolocation,0.624,20220914_030000.WAV
122.1905,122.2019,24609.0,32086.0,Echolocation,0.597,20220914_030000.WAV
125.5545,125.5684,22890.0,29918.0,Echolocation,0.576,20220914_030000.WAV
134.3155,134.3304,23750.0,28664.0,Echolocation,0.636,20220914_030000.WAV
137.6215,137.6349,23750.0,29273.0,Echolocation,0.707,20220914_030000.WAV
138.1335,138.1473,23750.0,28986.0,Echolocation,0.632,20220914_030000.WAV
138.4195,138.4345,24609.0,27917.0,Echolocation,0.509,20220914_030000.WAV
139.1765,139.1933,23750.0,27665.0,Echolocation,0.56,20220914_030000.WAV
140.3095,140.3247,23750.0,28644.0,Echolocation,0.606,20220914_030000.WAV
141.79149999999998,141.8049,23750.0,29833.0,Echolocation,0.629,20220914_030000.WAV
142.0615,142.0746,23750.0,29615.0,Echolocation,0.674,20220914_030000.WAV
142.3515,142.3655,23750.0,29819.0,Echolocation,0.64,20220914_030000.WAV
142.6165,142.6309,24609.0,30293.0,Echolocation,0.584,20220914_030000.WAV
142.7665,142.77949999999998,25468.0,31248.0,Echolocation,0.61,20220914_030000.WAV
142.91649999999998,142.9282,25468.0,31342.0,Echolocation,0.669,20220914_030000.WAV
143.07150000000001,143.0846,24609.0,31370.0,Echolocation,0.574,20220914_030000.WAV
143.2065,143.2178,25468.0,30295.0,Echolocation,0.516,20220914_030000.WAV
143.6325,143.6444,24609.0,30307.0,Echolocation,0.516,20220914_030000.WAV
143.8475,143.8573,27187.0,37070.0,Echolocation,0.546,20220914_030000.WAV
144.7955,144.8102,24609.0,33115.0,Echolocation,0.532,20220914_030000.WAV
144.9395,144.9525,26328.0,35513.0,Echolocation,0.563,20220914_030000.WAV
145.2315,145.2453,23750.0,31536.0,Echolocation,0.568,20220914_030000.WAV
145.4965,145.51,23750.0,30160.0,Echolocation,0.538,20220914_030000.WAV
146.5525,146.5672,23750.0,28871.0,Echolocation,0.576,20220914_030000.WAV
146.7145,146.7309,22890.0,30848.0,Echolocation,0.552,20220914_030000.WAV
146.9325,146.9466,23750.0,31742.0,Echolocation,0.569,20220914_030000.WAV
147.08350000000002,147.0971,26328.0,35497.0,Echolocation,0.58,20220914_030000.WAV
147.2475,147.2601,25468.0,33838.0,Echolocation,0.643,20220914_030000.WAV
147.4075,147.41989999999998,25468.0,35288.0,Echolocation,0.61,20220914_030000.WAV
147.7035,147.7134,27187.0,34157.0,Echolocation,0.539,20220914_030000.WAV
148.2785,148.2912,25468.0,31567.0,Echolocation,0.624,20220914_030000.WAV
148.4015,148.4134,25468.0,33783.0,Echolocation,0.58,20220914_030000.WAV
148.6335,148.6453,25468.0,37776.0,Echolocation,0.671,20220914_030000.WAV
148.8775,148.8911,25468.0,30218.0,Echolocation,0.53,20220914_030000.WAV
149.1065,149.12,24609.0,37157.0,Echolocation,0.641,20220914_030000.WAV
149.5705,149.5855,23750.0,33277.0,Echolocation,0.619,20220914_030000.WAV
149.8195,149.8344,23750.0,29017.0,Echolocation,0.501,20220914_030000.WAV
150.0745,150.0879,23750.0,30885.0,Echolocation,0.634,20220914_030000.WAV
150.5895,150.6032,23750.0,28803.0,Echolocation,0.728,20220914_030000.WAV
151.6455,151.6598,23750.0,28999.0,Echolocation,0.631,20220914_030000.WAV
156.0905,156.1043,24609.0,30367.0,Echolocation,0.514,20220914_030000.WAV
157.0345,157.0481,23750.0,29006.0,Echolocation,0.505,20220914_030000.WAV
164.0375,164.053,23750.0,27866.0,Echolocation,0.532,20220914_030000.WAV
164.3095,164.3246,24609.0,28319.0,Echolocation,0.546,20220914_030000.WAV
165.1165,165.1317,24609.0,29168.0,Echolocation,0.516,20220914_030000.WAV
165.6725,165.6851,23750.0,29907.0,Echolocation,0.596,20220914_030000.WAV
165.9485,165.9633,24609.0,30967.0,Echolocation,0.536,20220914_030000.WAV
166.0915,166.1058,25468.0,30922.0,Echolocation,0.568,20220914_030000.WAV
166.2215,166.23239999999998,25468.0,33146.0,Echolocation,0.662,20220914_030000.WAV
166.34550000000002,166.3552,26328.0,34668.0,Echolocation,0.602,20220914_030000.WAV
166.8425,166.85320000000002,28906.0,35171.0,Echolocation,0.504,20220914_030000.WAV
167.5905,167.6046,24609.0,31046.0,Echolocation,0.519,20220914_030000.WAV
167.8285,167.8436,25468.0,31364.0,Echolocation,0.545,20220914_030000.WAV
167.9785,167.992,24609.0,31292.0,Echolocation,0.619,20220914_030000.WAV
