Date and Time deployed (local) , Date and Time recovered (local) , AudioMoth # , SD card # , Site , Latitude , Longitude , Sampling rate (Hz) , Gain , Filter , Amplitude threshold , ON (secs) , OFF (secs) , Battery start (V) , Battery end (V) , Deployer , Scribe , Uploader , Upload folder name , Notes
2024-07-02T13:40:00 , 2024-07-11T17:51:00 , K , 010 , Central Pond , 47° 39' 17.430'' N , 122° 17' 34.170'' W , 192000 , Medium , None , None , 300 , 300 , 4.178 , 3.721 , AK , YC , AK , recover-20240711 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Using ubna_data_04 drive now; All recordings from 4TB temp drive have been backed up to ubna_data_04;
2024-07-02T13:41:00 , 2024-07-11T17:36:00 , N , 018 , Carp Pond , 47° 39' 15.918'' N , 122° 17' 42.132'' W , 192000 , Medium , None , None , 300 , 300 , 4.178 , 3.606 , AK , YC , AK , recover-20240711 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Using ubna_data_04 drive now; All recordings from 4TB temp drive have been backed up to ubna_data_04;
2024-07-02T13:41:00 , 2024-07-11T18:18:00 , C , 001 , Telephone Field , 47° 39' 25.140'' N , 122° 17' 29.550'' W , 192000 , Medium , None , None , 300 , 300 , 4.374 , 3.572 , AK , YC , AK , recover-20240711 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Using ubna_data_04 drive now; All recordings from 4TB temp drive have been backed up to ubna_data_04;
2024-07-11T16:40:00 , 2024-07-19T11:55:00 , A , 011 , E18 Bridge , 47° 39' 21.222'' N , 122° 17' 48.372'' W , 192000 , Medium , None , None , 300 , 300 , 4.100 , 3.434 , AK , YC , AK , recover-20240719 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Moving duty-cycle info into columns;
2024-07-11T16:40:00 , 2024-07-19T11:26:00 , J , 017 , Central Pond , 47° 39' 16.878'' N , 122° 17' 34.578'' W , 192000 , Medium , None , None , 300 , 300 , 4.123 , 3.483 , AK , YC , AK , recover-20240719 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Moving duty-cycle info into columns;
2024-07-11T16:40:00 , 2024-07-19T11:11:00 , M , 007 , Foliage , 47° 39' 18.708'' N , 122° 17' 27.630'' W , 192000 , Medium , None , None , 300 , 300 , 4.120 , 3.449 , AK , YC , AK , recover-20240719 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Moving duty-cycle info into columns;
2024-07-11T16:40:00 , 2024-07-19T10:56:00 , I , 004 , Telephone Field , 47° 39' 24.822'' N , 122° 17' 30.018'' W , 192000 , Medium , None , None , 300 , 300 , 4.218 , 3.542 , AK , YC , AK , recover-20240719 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Moving duty-cycle info into columns;
2024-07-11T16:40:00 , 2024-07-19T11:39:00 , L , 021 , Carp Pond , 47° 39' 15.912'' N , 122° 17' 42.018'' W , 192000 , Medium , None , None , 300 , 300 , 4.413 , 3.560 , AK , YC , AK , recover-20240719 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Moving duty-cycle info into columns;
2024-07-19T10:24:00 , 2024-07-22T14:25:00 , K , 009 , Foliage , 47° 39' 18.558'' N , 122° 17' 27.522'' W , 192000 , Medium , None , None , 300 , 300 , 4.395 , 3.890 , AK , AL , AK , recover-20240722 , Ikea Batteries 0:00-24:00 UTC;
2024-07-19T10:25:00 , 2024-07-22T14:45:00 , N , 010 , Carp Pond , 47° 39' 16.050'' N , 122° 17' 41.970'' W , 192000 , Medium , None , None , 300 , 300 , 4.153 , 3.900 , AL , AK , AK , recover-20240722 , Ikea Batteries 0:00-24:00 UTC;
2024-07-19T10:25:00 , 2024-07-22T15:11:00 , D , 018 , E18 Bridge , 47° 39' 21.498'' N , 122° 17' 48.588'' W , 192000 , Medium , None , None , 300 , 300 , 4.165 , 3.860 , AK , AL , AK , recover-20240722 , Ikea Batteries 0:00-24:00 UTC;
2024-07-19T10:25:00 , 2024-07-22T14:08:00 , G , 012 , Telephone Field , 47° 39' 25.188'' N , 122° 17' 29.412'' W , 192000 , Medium , None , None , 300 , 300 , 4.183 , 3.869 , AK , AL , AK , recover-20240722 , Ikea Batteries 0:00-24:00 UTC;
2024-07-19T10:25:00 , 2024-07-22T14:34:00 , C , 001 , Central Pond , 47° 39' 17.088'' N , 122° 17' 34.332'' W , 192000 , Medium , None , None , 300 , 300 , 4.150 , 3.859 , AK , AL , AK , recover-20240722 , Ikea Batteries 0:00-24:00 UTC;
2024-07-22T13:35:00 , 2024-07-29T14:18:00 , A , 017 , Foliage , 47° 39' 18.810'' N , 122° 17' 27.240'' W , 192000 , Medium , None , None , 300 , 300 , 4.090 , 3.134 , AL , AK , AK , recover-20240729 , Panasonic Batteries 0:00-24:00 UTC;
2024-07-22T13:35:00 , 2024-07-29T14:53:00 , L , 011 , E18 Bridge , 47° 39' 21.438'' N , 122° 17' 48.642'' W , 192000 , Medium , None , None , 300 , 300 , 4.216 , 3.561 , AL , AK , AK , recover-20240729 , Panasonic Batteries 0:00-24:00 UTC;
2024-07-22T13:35:00 , 2024-07-29T14:08:00 , I , 021 , Telephone Field , 47° 39' 24.942'' N , 122° 17' 29.172'' W , 192000 , Medium , None , None , 300 , 300 , 4.410 , 3.654 , AL , AK, AK , recover-20240729 , Panasonic Batteries 0:00-24:00 UTC;
2024-07-22T13:35:00 , 2024-07-29T14:28:00 , J , 004 , Central Pond , 47° 39' 16.992'' N , 122° 17' 34.332'' W , 192000 , Medium , None , None , 300 , 300 , 4.179 , 3.627 , AL , AK , AK , recover-20240729 , Ikea Batteries 0:00-24:00 UTC;
2024-07-22T13:35:00 , 2024-07-29T14:43:00 , M , 007 , Carp Pond , 47° 39' 16'' N , 122° 17' 42'' W , 192000 , Medium , None , None , 300 , 300 , 4.200 , 3.612 , AL , AK , AK , recover-20240729 , Ikea Batteries 0:00-24:00 UTC; Ziploc bag;
2024-07-22T14:51:00 , 2024-07-29T14:44:00 , N , 008 , Carp Pond , 47° 39' 16'' N , 122° 17' 42'' W , 192000 , Medium , None , None , 300 , 300 , 4.200 , 3.557 , AL , AK , AK , recover-20240729 , Ikea Batteries 0:00-24:00 UTC; Hand-sewn camo bag;
